tweet_id,favorite_count,retweet_count,source,retweeted_status,expanded_urls
892420643555336193,34820,7294,,Original tweet,https://t.co/MgUWQ76dJU
892177421306343426,30157,5452,,Original tweet,https://t.co/aQFSeaCu9L
891815181378084864,22696,3592,,Original tweet,https://t.co/r0YlrsGCgy
891689557279858688,38079,7486,,Original tweet,https://t.co/tD36da7qLQ
891327558926688256,36369,8046,,Original tweet,https://t.co/0g0KMIVXZ3
891087950875897856,18340,2698,,Original tweet,https://t.co/xx5cilW0Dd
890971913173991426,10679,1741,,Original tweet,https://t.co/MV01Q820LT
890729181411237888,58648,16368,,Original tweet,https://t.co/hrcFOGi12V
890609185150312448,25256,3742,,Original tweet,https://t.co/UkrdQyoYxV
890240255349198849,28806,6318,,Original tweet,https://t.co/l3TSS3o2M0
890006608113172480,27793,6357,,Original tweet,https://t.co/jy2alqaYPH
889880896479866881,25275,4316,,Original tweet,https://t.co/u1XPQMl29g
889665388333682689,43340,8653,,Original tweet,https://t.co/BxvuXk0UCm
889638837579907072,24381,3866,,Original tweet,https://t.co/f8dEDcrKSR
889531135344209921,13735,1949,,Original tweet,https://t.co/Ya3bdfYuCx
889278841981685760,22767,4613,,Original tweet,https://t.co/qw5xRwBaIv
888917238123831296,26337,3880,,Original tweet,https://t.co/chxruIOUJN
888804989199671297,23116,3672,,Original tweet,https://t.co/L5cCoR2huQ
888554962724278272,17825,2984,,Original tweet,https://t.co/YnYAFCTTiK
888078434458587136,19728,3007,,Original tweet,https://t.co/UibDBnVpvR
887705289381826560,27415,4683,,Original tweet,https://t.co/m7BR4JgDrZ
887517139158093824,41919,10193,,Original tweet,https://t.co/20VrLAA8ba
887473957103951883,62024,15575,,Original tweet,https://t.co/cLyzpcUcMX
887343217045368832,30422,9130,,Original tweet,https://t.co/WZqNqygEyV
887101392804085760,27748,5167,,Original tweet,https://t.co/UgW2xbO7Rg
886983233522544640,31389,6618,,Original tweet,https://t.co/I6oNy0CgiT
886736880519319552,10805,2745,,Original tweet,https://t.co/RipKYZ0T1u
886680336477933568,20334,3877,,Original tweet,https://t.co/BCoWue0abA
886366144734445568,19105,2734,,Original tweet,https://t.co/iIu3AF8IWH
886267009285017600,106,3,,Original tweet,n
886258384151887873,25301,5475,,Original tweet,https://t.co/xZDA9Qsq1O
886054160059072513,0,95,,Error,-
885984800019947520,29459,5822,,Original tweet,https://t.co/lWeeGBBXmE
885528943205470208,32525,5540,,Original tweet,https://t.co/tp1kQ8i9JF
885518971528720385,18536,3225,,Original tweet,https://t.co/gzLHboL7Sk
